filename,status,reason,local_size,integrity_check
MYD11A1.A2020007.h29v08.061.2021003174535.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",384187,PASS (Structure Only)
BROWSE.MYD11A1.A2020018.h28v08.061.2021004064203.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11735,PASS (Structure Only)
MYD11A1.A2020008.h29v08.061.2021003182946.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",743515,PASS (Structure Only)
MYD11A1.A2020008.h27v08.061.2021003183408.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1132195,PASS (Structure Only)
MYD11A1.A2020018.h27v08.061.2021004064205.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",275102,PASS (Structure Only)
BROWSE.MYD11A1.A2020020.h28v08.061.2021004084825.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",5109,PASS (Structure Only)
BROWSE.MYD11A1.A2020021.h28v08.061.2021004100222.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10884,PASS (Structure Only)
MYD11A1.A2020021.h27v08.061.2021004100218.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15904,PASS (Structure Only)
BROWSE.MYD11A1.A2020020.h27v08.061.2021004084745.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",8695,PASS (Structure Only)
BROWSE.MYD11A1.A2020019.h27v08.061.2021004074316.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13169,PASS (Structure Only)
BROWSE.MYD11A1.A2020021.h29v08.061.2021004100228.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11987,PASS (Structure Only)
BROWSE.MYD11A1.A2020022.h27v08.061.2021004105816.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13097,PASS (Structure Only)
BROWSE.MYD11A1.A2020017.h28v08.061.2021004052847.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11058,PASS (Structure Only)
BROWSE.MYD11A1.A2020017.h29v08.061.2021004052836.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15618,PASS (Structure Only)
BROWSE.MYD11A1.A2020022.h29v08.061.2021004105825.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",17306,PASS (Structure Only)
BROWSE.MYD11A1.A2020022.h28v08.061.2021004105832.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11539,PASS (Structure Only)
BROWSE.MYD11A1.A2020024.h27v08.061.2021004162505.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12979,PASS (Structure Only)
BROWSE.MYD11A1.A2020019.h29v08.061.2021004073719.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13998,PASS (Structure Only)
BROWSE.MYD11A1.A2020023.h28v08.061.2021004123216.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15103,PASS (Structure Only)
BROWSE.MYD11A1.A2020024.h28v08.061.2021004162119.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12796,PASS (Structure Only)
BROWSE.MYD11A1.A2020025.h27v08.061.2021004170643.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7976,PASS (Structure Only)
BROWSE.MYD11A1.A2020011.h29v08.061.2021003214953.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",5029,PASS (Structure Only)
BROWSE.MYD11A1.A2020027.h27v08.061.2021005010132.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6061,PASS (Structure Only)
BROWSE.MYD11A1.A2020025.h28v08.061.2021004170038.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13559,PASS (Structure Only)
BROWSE.MYD11A1.A2020026.h29v08.061.2021005010317.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",14483,PASS (Structure Only)
BROWSE.MYD11A1.A2020026.h28v08.061.2021005004105.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",14373,PASS (Structure Only)
BROWSE.MYD11A1.A2020016.h28v08.061.2021004043739.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10265,PASS (Structure Only)
MYD11A1.A2020028.h28v08.061.2021005032725.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15497,PASS (Structure Only)
BROWSE.MYD11A1.A2020027.h28v08.061.2021005010320.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",8359,PASS (Structure Only)
BROWSE.MYD11A1.A2020028.h27v08.061.2021005032723.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9467,PASS (Structure Only)
BROWSE.MYD11A1.A2020015.h28v08.061.2021004031951.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10540,PASS (Structure Only)
BROWSE.MYD11A1.A2020016.h29v08.061.2021004043754.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12639,PASS (Structure Only)
BROWSE.MYD11A1.A2020028.h29v08.061.2021005032920.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12585,PASS (Structure Only)
BROWSE.MYD11A1.A2020024.h29v08.061.2021004162039.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13596,PASS (Structure Only)
BROWSE.MYD11A1.A2020018.h29v08.061.2021004064200.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15974,PASS (Structure Only)
BROWSE.MYD11A1.A2020019.h28v08.061.2021004073842.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12000,PASS (Structure Only)
BROWSE.MYD11A1.A2020030.h29v08.061.2021005051218.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",5380,PASS (Structure Only)
BROWSE.MYD11A1.A2020030.h28v08.061.2021005051216.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10909,PASS (Structure Only)
BROWSE.MYD11A1.A2020032.h28v08.061.2021005071254.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9490,PASS (Structure Only)
BROWSE.MYD11A1.A2020031.h29v08.061.2021005051749.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11310,PASS (Structure Only)
BROWSE.MYD11A1.A2020029.h29v08.061.2021005033740.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12686,PASS (Structure Only)
BROWSE.MYD11A1.A2020027.h29v08.061.2021005011251.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",17536,PASS (Structure Only)
MYD11A1.A2020029.h28v08.061.2021005033021.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",352356,PASS (Structure Only)
BROWSE.MYD11A1.A2020031.h27v08.061.2021005051752.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7514,PASS (Structure Only)
BROWSE.MYD11A1.A2020034.h28v08.061.2021005085800.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10713,PASS (Structure Only)
MYD11A1.A2020029.h27v08.061.2021005032956.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",318243,PASS (Structure Only)
BROWSE.MYD11A1.A2020035.h29v08.061.2021005093047.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9781,PASS (Structure Only)
BROWSE.MYD11A1.A2020032.h29v08.061.2021005071310.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11784,PASS (Structure Only)
BROWSE.MYD11A1.A2020023.h29v08.061.2021004123636.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15428,PASS (Structure Only)
BROWSE.MYD11A1.A2020026.h27v08.061.2021005004221.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11096,PASS (Structure Only)
BROWSE.MYD11A1.A2020023.h27v08.061.2021004123224.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11663,PASS (Structure Only)
BROWSE.MYD11A1.A2020030.h27v08.061.2021005051228.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7364,PASS (Structure Only)
MYD11A1.A2020036.h28v08.061.2021005104612.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",16228,PASS (Structure Only)
BROWSE.MYD11A1.A2020035.h27v08.061.2021005093203.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9436,PASS (Structure Only)
BROWSE.MYD11A1.A2020037.h28v08.061.2021005110931.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12351,PASS (Structure Only)
MYD11A1.A2020036.h27v08.061.2021005104607.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",317461,PASS (Structure Only)
BROWSE.MYD11A1.A2020033.h28v08.061.2021005071853.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6334,PASS (Structure Only)
BROWSE.MYD11A1.A2020033.h29v08.061.2021005071854.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9549,PASS (Structure Only)
MYD11A1.A2020032.h27v08.061.2021005071229.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",16553,PASS (Structure Only)
BROWSE.MYD11A1.A2020038.h28v08.061.2021005121918.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6534,PASS (Structure Only)
BROWSE.MYD11A1.A2020039.h27v08.061.2021005124930.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7024,PASS (Structure Only)
MYD11A1.A2020036.h29v08.061.2021005104602.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",593786,PASS (Structure Only)
BROWSE.MYD11A1.A2020038.h27v08.061.2021005121807.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",4423,PASS (Structure Only)
BROWSE.MYD11A1.A2020037.h29v08.061.2021005110938.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10968,PASS (Structure Only)
BROWSE.MYD11A1.A2020037.h27v08.061.2021005111001.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",8079,PASS (Structure Only)
BROWSE.MYD11A1.A2020038.h29v08.061.2021005121828.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9664,PASS (Structure Only)
BROWSE.MYD11A1.A2020034.h29v08.061.2021005085751.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",8888,PASS (Structure Only)
BROWSE.MYD11A1.A2020035.h28v08.061.2021005092754.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11656,PASS (Structure Only)
BROWSE.MYD11A1.A2020042.h27v08.061.2021005165233.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11521,PASS (Structure Only)
BROWSE.MYD11A1.A2020033.h27v08.061.2021005071834.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9125,PASS (Structure Only)
MYD11A1.A2020039.h29v08.061.2021005124952.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",295698,PASS (Structure Only)
BROWSE.MYD11A1.A2020040.h27v08.061.2021005140234.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10674,PASS (Structure Only)
BROWSE.MYD11A1.A2020041.h27v08.061.2021005143220.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",5120,PASS (Structure Only)
BROWSE.MYD11A1.A2020044.h28v08.061.2021005192600.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13333,PASS (Structure Only)
BROWSE.MYD11A1.A2020043.h29v08.061.2021005165839.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",16785,PASS (Structure Only)
MYD11A1.A2020043.h27v08.061.2021005165955.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",306428,PASS (Structure Only)
BROWSE.MYD11A1.A2020043.h28v08.061.2021005165927.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7613,PASS (Structure Only)
BROWSE.MYD11A1.A2020025.h29v08.061.2021004170248.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",18294,PASS (Structure Only)
BROWSE.MYD11A1.A2020044.h27v08.061.2021005192358.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11441,PASS (Structure Only)
BROWSE.MYD11A1.A2020042.h29v08.061.2021005165151.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7930,PASS (Structure Only)
BROWSE.MYD11A1.A2020040.h28v08.061.2021005140225.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",5760,PASS (Structure Only)
MYD11A1.A2020034.h27v08.061.2021005085945.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",16146,PASS (Structure Only)
MYD11A1.A2020044.h29v08.061.2021005192437.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",742515,PASS (Structure Only)
MYD11A1.A2020045.h27v08.061.2021005193551.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15415,PASS (Structure Only)
BROWSE.MYD11A1.A2020047.h27v08.061.2021005220255.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12977,PASS (Structure Only)
BROWSE.MYD11A1.A2020046.h29v08.061.2021005215329.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6483,PASS (Structure Only)
BROWSE.MYD11A1.A2020048.h29v08.061.2021005234251.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11522,PASS (Structure Only)
MYD11A1.A2020047.h29v08.061.2021005220253.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1415469,PASS (Structure Only)
MYD11A1.A2020047.h28v08.061.2021005220252.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",628509,PASS (Structure Only)
MYD11A1.A2020048.h27v08.061.2021005234354.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",16551,PASS (Structure Only)
BROWSE.MYD11A1.A2020048.h28v08.061.2021005234530.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6951,PASS (Structure Only)
BROWSE.MYD11A1.A2020049.h28v08.061.2021006000409.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",8984,PASS (Structure Only)
BROWSE.MYD11A1.A2020045.h28v08.061.2021005193440.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7033,PASS (Structure Only)
BROWSE.MYD11A1.A2020045.h29v08.061.2021005193431.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6193,PASS (Structure Only)
BROWSE.MYD11A1.A2020041.h29v08.061.2021005143217.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12356,PASS (Structure Only)
BROWSE.MYD11A1.A2020039.h28v08.061.2021005124950.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9356,PASS (Structure Only)
BROWSE.MYD11A1.A2020046.h28v08.061.2021005215332.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12854,PASS (Structure Only)
MYD11A1.A2020051.h28v08.061.2021006020355.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15823,PASS (Structure Only)
BROWSE.MYD11A1.A2020050.h28v08.061.2021006013304.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12328,PASS (Structure Only)
MYD11A1.A2020003.h29v08.061.2021003133550.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",246325,PASS (Structure Only)
BROWSE.MYD11A1.A2020053.h28v08.061.2021006113717.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13643,PASS (Structure Only)
MYD11A1.A2020051.h29v08.061.2021006015928.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1130351,PASS (Structure Only)
MYD11A1.A2020052.h27v08.061.2021006084023.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",625165,PASS (Structure Only)
BROWSE.MYD11A1.A2020049.h27v08.061.2021006000411.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",8496,PASS (Structure Only)
BROWSE.MYD11A1.A2020052.h28v08.061.2021006074619.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6463,PASS (Structure Only)
BROWSE.MYD11A1.A2020054.h28v08.061.2021006142647.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10186,PASS (Structure Only)
BROWSE.MYD11A1.A2020041.h28v08.061.2021005143225.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6362,PASS (Structure Only)
BROWSE.MYD11A1.A2020031.h28v08.061.2021005051747.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6883,PASS (Structure Only)
BROWSE.MYD11A1.A2020053.h27v08.061.2021006120528.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12344,PASS (Structure Only)
BROWSE.MYD11A1.A2020056.h27v08.061.2021006162152.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11247,PASS (Structure Only)
