timestamp,status_code,status_msg,file_path,file_size_mb
2025-01-01T13:30:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S133000-E135959.0810.V07B.HDF5,7.05
2025-01-01T14:00:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S140000-E142959.0840.V07B.HDF5,7.05
2025-01-01T14:30:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S143000-E145959.0870.V07B.HDF5,7.18
2025-01-01T15:00:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S150000-E152959.0900.V07B.HDF5,7.18
2025-01-01T15:30:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S153000-E155959.0930.V07B.HDF5,7.16
2025-01-01T16:00:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S160000-E162959.0960.V07B.HDF5,7.18
2025-01-01T16:30:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S163000-E165959.0990.V07B.HDF5,7.23
2025-01-01T17:00:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S170000-E172959.1020.V07B.HDF5,7.32
2025-01-01T17:30:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S173000-E175959.1050.V07B.HDF5,7.3
2025-01-01T18:00:00,3,Missing internal path: Grid/precipitationCal,/mnt/AizatDrive/gpm_imerg_precipitationCal/2025/01/01/3B-HHR.MS.MRG.3IMERG.20250101-S180000-E182959.1080.V07B.HDF5,7.27
