Date,23GHz,89GHz,SMC,Reason
2023-03-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-03-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-04-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-04-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-04-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-04-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-04-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-05-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-05-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-05-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-05-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-05-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-05-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-06-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-06-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-06-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-06-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-06-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-07-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-07-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-07-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-07-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-07-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-07-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-08-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-08-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-08-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-08-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-08-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-08-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-09-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-09-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-09-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-09-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-09-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-10-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-10-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-10-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-10-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-10-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-10-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-11-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-11-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-11-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-11-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-11-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-12-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-12-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-12-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-12-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-12-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2023-12-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-01-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-01-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-01-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-01-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
